ISIN,DocumentType,EffectiveDate,DownloadDate,DownloadUrl,FilePath,MD5Hash,FileSize
DE000A1JRP71,Annual report,12/31/2022,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/jahresbericht/JB_6042-C-QUADRAT_ARTS_Total_Return_Flexible_Bericht-2022-12-31.pdf,../Hansainvest/DE000A1JRP71/JB_6042-C-QUADRAT_ARTS_Total_Return_Flexible_Bericht-2022-12-31.pdf,87c8b04d5e189c1d92c3ed179ef39999,1978267
DE000A1JRP71,Semi annual report,06/30/2023,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/halbjahresbericht/HJB_6042_C-QUADRAT_ARTS_Total_Return_Flexible_Bericht_2023-06-30.pdf,../Hansainvest/DE000A1JRP71/HJB_6042_C-QUADRAT_ARTS_Total_Return_Flexible_Bericht_2023-06-30.pdf,9c6706bbdecddee579ca83f53883b9af,861321
DE000A12BKG4,Prospectus,07/01/2023,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/verkaufsprospekt/VKP_C_Quadrat_ARTS_TRF_01_07_2023.pdf,../Hansainvest/DE000A12BKG4/VKP_C_Quadrat_ARTS_TRF_01_07_2023.pdf,406ec6eb9284552126772fd7da07f5f7,1502200
DE000A12BKG4,Annual report,12/31/2022,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/jahresbericht/JB_6042-C-QUADRAT_ARTS_Total_Return_Flexible_Bericht-2022-12-31.pdf,../Hansainvest/DE000A12BKG4/JB_6042-C-QUADRAT_ARTS_Total_Return_Flexible_Bericht-2022-12-31.pdf,87c8b04d5e189c1d92c3ed179ef39999,1978267
DE000A12BKG4,Semi annual report,06/30/2023,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/halbjahresbericht/HJB_6042_C-QUADRAT_ARTS_Total_Return_Flexible_Bericht_2023-06-30.pdf,../Hansainvest/DE000A12BKG4/HJB_6042_C-QUADRAT_ARTS_Total_Return_Flexible_Bericht_2023-06-30.pdf,9c6706bbdecddee579ca83f53883b9af,861321
DE000A2JQJB0,Prospectus,05/02/2023,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/verkaufsprospekt/VKP_CA_Familienstrategie_02_05_2023.pdf,../Hansainvest/DE000A2JQJB0/VKP_CA_Familienstrategie_02_05_2023.pdf,e170392c140e0ba8f12c51a0bf1292ac,1161429
DE000A2JQJB0,Annual report,12/31/2022,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/jahresbericht/JB_1808_CA_Familienstrategie_2022-12-31.pdf,../Hansainvest/DE000A2JQJB0/JB_1808_CA_Familienstrategie_2022-12-31.pdf,d1918a0cc3bf203ec0b1f06387e02d73,2344489
DE000A2JQJB0,Semi annual report,06/30/2023,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/halbjahresbericht/HJB_1808_CA_Familienstrategie_Bericht_2023-06-30.pdf,../Hansainvest/DE000A2JQJB0/HJB_1808_CA_Familienstrategie_Bericht_2023-06-30.pdf,4a5b0c62dec9a0c97046452f4cfb01d5,1341688
DE000A2QAYB8,Prospectus,05/02/2023,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/verkaufsprospekt/VKP_CA_Familienstrategie_02_05_2023.pdf,../Hansainvest/DE000A2QAYB8/VKP_CA_Familienstrategie_02_05_2023.pdf,e170392c140e0ba8f12c51a0bf1292ac,1161429
DE000A2QAYB8,Annual report,12/31/2022,2024-03-13,https://fondswelt.hansainvest.com//uploads/documents/jahresbericht/JB_1808_CA_Familienstrategie_2022-12-31.pdf,../Hansainvest/DE000A2QAYB8/JB_1808_CA_Familienstrategie_2022-12-31.pdf,d1918a0cc3bf203ec0b1f06387e02d73,2344489
